[2026-08-01T15:47:50.170Z] GET http://localhost:5173/node_modules/.vite/deps/@mui_icons-material_AutoStories.js?v=1f6a80b5 → 200 (16ms, ?B)
[2026-08-01T15:47:50.170Z] GET http://localhost:5173/node_modules/.vite/deps/@mui_icons-material_ChevronLeft.js?v=1f6a80b5 → 200 (16ms, ?B)
[2026-08-01T15:47:50.170Z] GET http://localhost:5173/node_modules/.vite/deps/@mui_icons-material_ChevronRight.js?v=1f6a80b5 → 200 (18ms, ?B)
[2026-08-01T15:47:50.170Z] GET http://localhost:5173/src/components/SkillCovariance.tsx → 200 (18ms, ?B)
[2026-08-01T15:47:50.170Z] GET http://localhost:5173/src/components/SkillPipeline.tsx → 200 (18ms, ?B)
[2026-08-01T15:47:50.170Z] GET http://localhost:5173/node_modules/.vite/deps/@mui_icons-material_Article.js?v=1f6a80b5 → 200 (17ms, ?B)
[2026-08-01T15:47:50.170Z] GET http://localhost:5173/node_modules/.vite/deps/@mui_icons-material_OpenInNew.js?v=1f6a80b5 → 200 (18ms, ?B)
[2026-08-01T15:47:50.170Z] GET http://localhost:5173/node_modules/.vite/deps/@mui_icons-material_Web.js?v=1f6a80b5 → 200 (18ms, ?B)
[2026-08-01T15:47:50.170Z] GET http://localhost:5173/node_modules/.vite/deps/@mui_icons-material_Dns.js?v=1f6a80b5 → 200 (19ms, ?B)
[2026-08-01T15:47:50.170Z] GET http://localhost:5173/node_modules/.vite/deps/@mui_icons-material_Storage.js?v=1f6a80b5 → 200 (19ms, ?B)
[2026-08-01T15:47:50.170Z] GET http://localhost:5173/node_modules/.vite/deps/@mui_icons-material_BarChart.js?v=1f6a80b5 → 200 (19ms, ?B)
[2026-08-01T15:47:50.170Z] GET http://localhost:5173/node_modules/.vite/deps/@mui_icons-material_Psychology.js?v=1f6a80b5 → 200 (19ms, ?B)
[2026-08-01T15:47:50.170Z] GET http://localhost:5173/node_modules/.vite/deps/@mui_icons-material_SmartToy.js?v=1f6a80b5 → 200 (19ms, ?B)
[2026-08-01T15:47:50.170Z] GET http://localhost:5173/node_modules/.vite/deps/@mui_icons-material_Cloud.js?v=1f6a80b5 → 200 (19ms, ?B)
[2026-08-01T15:47:50.171Z] GET http://localhost:5173/node_modules/.vite/deps/@mui_icons-material_KeyboardArrowDown.js?v=1f6a80b5 → 200 (18ms, ?B)
[2026-08-01T15:47:50.171Z] GET http://localhost:5173/node_modules/.vite/deps/@mui_icons-material_Description.js?v=1f6a80b5 → 200 (18ms, ?B)
[2026-08-01T15:47:50.171Z] GET http://localhost:5173/node_modules/.vite/deps/@mui_icons-material_Summarize.js?v=1f6a80b5 → 200 (18ms, ?B)
[2026-08-01T15:47:50.171Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-C6WWHQR7.js?v=1f6a80b5 → 200 (18ms, ?B)
[2026-08-01T15:47:50.171Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-UY2RUKTB.js?v=1f6a80b5 → 200 (19ms, ?B)
[2026-08-01T15:47:50.171Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-5U35SIGV.js?v=1f6a80b5 → 200 (20ms, ?B)
[2026-08-01T15:47:50.171Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-EQCCHGRT.js?v=1f6a80b5 → 200 (19ms, ?B)
[2026-08-01T15:47:50.171Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-GSJHEFGA.js?v=1f6a80b5 → 200 (19ms, ?B)
[2026-08-01T15:47:50.171Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-7HXCKB66.js?v=1f6a80b5 → 200 (19ms, ?B)
[2026-08-01T15:47:50.172Z] GET http://localhost:5173/node_modules/.vite/deps/@mui_icons-material_KeyboardArrowUp.js?v=1f6a80b5 → 200 (18ms, ?B)
[2026-08-01T15:47:50.235Z] GET https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;500;600;700&family=Inter:ital,opsz,wght@0,14..32,300..700;1,14..32,400&family=IBM+Plex+Mono:wght@400;500;600&display=swap → 200 (249ms, 16070B)
[2026-08-01T15:47:50.451Z] GET http://localhost:5173/images/headshot.jpg → 200 (9ms, 400549B)
[2026-08-01T15:47:50.451Z] GET http://localhost:5173/images/cambridge-logo.png → 200 (9ms, 58265B)
[2026-08-01T15:47:50.451Z] GET http://localhost:5173/images/queens-cover.png → 200 (9ms, 48864B)
[2026-08-01T15:47:50.451Z] GET http://localhost:5173/images/chia-cover.png → 200 (1ms, 8289B)
